LabelURN,Text,SpecimenURN,ImageURN,ROI
urn:cite:botcar:catesbyLabels.penLabel231.1,Dogwood,urn:cite:botcar:sloane.231,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_089_0568,""
urn:cite:botcar:catesbyLabels.penLabel21.1,Fagus pumila Linn.,urn:cite:botcar:sloane.21,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_036_0622,""
urn:cite:botcar:catesbyLabels.penLabel409.1,Gnaphalium hirtum Mscr. 160,urn:cite:botcar:sloane.409,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,""
urn:cite:botcar:catesbyLabels.penLabel238.1,Hamamelis virginiana Linn. (in pencil: Sp. Pl. 124!),urn:cite:botcar:sloane.238,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501,""
urn:cite:botcar:catesbyLabels.penLabel364.1,Hedyglarum volubile Linn.,urn:cite:botcar:sloane.364,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414,""
urn:cite:botcar:catesbyLabels.penLabel262.1,Hypericum Lasianthus Linn. Sp. Pl. 783,urn:cite:botcar:sloane.262,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497,""
urn:cite:botcar:catesbyLabels.penLabel347.1,Impatiens americana Mscr. 190,urn:cite:botcar:sloane.347,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_074_0580,""
urn:cite:botcar:catesbyLabels.penLabel280.1,Indigofera tinctoria. 1061.1,urn:cite:botcar:sloane.280,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_106_0546,""
urn:cite:botcar:catesbyLabels.penLabel117.1,Juglans alba: Linn. Sp. Pl. 997,urn:cite:botcar:sloane.117,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509,""
urn:cite:botcar:catesbyLabels.penLabel243.1,Liquidambar styraciflua L.,urn:cite:botcar:sloane.243,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432,""
urn:cite:botcar:catesbyLabels.penLabel389.1,Liriodendron Tulipifera Linn.,urn:cite:botcar:sloane.389,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431,""
urn:cite:botcar:catesbyLabels.penLabel211.1,Lobelia laevigata Mscr 188,urn:cite:botcar:sloane.211,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,""
urn:cite:botcar:catesbyLabels.penLabel224.1,Lycopodium alopecuroides Linn.,urn:cite:botcar:sloane.224,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487,""
urn:cite:botcar:catesbyLabels.penLabel73.1,Menispermum canadense Linn.,urn:cite:botcar:sloane.73,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485,""
urn:cite:botcar:catesbyLabels.penLabel35.1,Monarda punctata Linn.,urn:cite:botcar:sloane.35,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,""
urn:cite:botcar:catesbyLabels.penLabel392.1,Pedicularis umbellifera Mscr.,urn:cite:botcar:sloane.392,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491,""
urn:cite:botcar:catesbyLabels.penLabel251.1,Physalis angulata Linn.,urn:cite:botcar:sloane.251,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470,""
urn:cite:botcar:catesbyLabels.penLabel161.1,Polypremum procumbens Linn.,urn:cite:botcar:sloane.161,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_136_0522,""
urn:cite:botcar:catesbyLabels.penLabel406.1,Pontederia cordata Linn.,urn:cite:botcar:sloane.406,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491,""
urn:cite:botcar:catesbyLabels.penLabel151.1,Pontederia cordata Linn.,urn:cite:botcar:sloane.151,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_067_0591,""
urn:cite:botcar:catesbyLabels.penLabel8.1,Quercus Prinus Linn.,urn:cite:botcar:sloane.8,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_014_0642,""
urn:cite:botcar:catesbyLabels.penLabel391.1,Quercus Prinus Linn. Sp. Pl. 995,urn:cite:botcar:sloane.391,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503,""
urn:cite:botcar:catesbyLabels.penLabel268.1,Quercus rubra Linn.; Red Oak,urn:cite:botcar:sloane.268,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_088_0566,""
urn:cite:botcar:catesbyLabels.penLabel131.1,R.H. 183,urn:cite:botcar:sloane.131,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_039_0616,""
urn:cite:botcar:catesbyLabels.penLabel258.1,Rhexia glabrata Mscr. det Lewis 1967 (blue ballpoint pen),urn:cite:botcar:sloane.258,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464,""
urn:cite:botcar:catesbyLabels.penLabel75.1,Sarracenia flava Linn.,urn:cite:botcar:sloane.75,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485,""
urn:cite:botcar:catesbyLabels.penLabel396.1,Saururus cernuus Linn.,urn:cite:botcar:sloane.396,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_082_0575,""
urn:cite:botcar:catesbyLabels.penLabel85.1,Scutellaria laterifolia Linn.,urn:cite:botcar:sloane.85,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483,""
urn:cite:botcar:catesbyLabels.penLabel325.1,Serratula secunda Mscr. 152,urn:cite:botcar:sloane.325,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542,""
urn:cite:botcar:catesbyLabels.penLabel395.1,Silphium asteriscus Linn.,urn:cite:botcar:sloane.395,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,""
urn:cite:botcar:catesbyLabels.penLabel424.1,Sophora perfoliata Mscr. 88,urn:cite:botcar:sloane.424,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453,""
urn:cite:botcar:catesbyLabels.penLabel202.1,Sophora perfoliata Mscr. 88,urn:cite:botcar:sloane.202,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_072_0584,""
urn:cite:botcar:catesbyLabels.penLabel18.1,Sophora tinctoria Linn.,urn:cite:botcar:sloane.18,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482,""
urn:cite:botcar:catesbyLabels.penLabel207.1,Stachys intermedia Mscr.,urn:cite:botcar:sloane.207,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481,""
urn:cite:botcar:catesbyLabels.penLabel234.1,Taxodium ascendens@ Det. Glynn Church 9.2007,urn:cite:botcar:sloane.234,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_085_0578,""
urn:cite:botcar:catesbyLabels.penLabel420.1,Water Oak Catesby T.20,urn:cite:botcar:sloane.420,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_096_0562,""
urn:cite:botcar:catesbyLabels.penLabel233.1,White Oak,urn:cite:botcar:sloane.233,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_091_0565,""
urn:cite:botcar:catesbyLabels.penLabel55.1,Willow Oak,urn:cite:botcar:sloane.55,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_098_0558,""
urn:cite:botcar:catesbyLabels.penOnPage319.1,68.3,urn:cite:botcar:sloane.319,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459,""
urn:cite:botcar:catesbyLabels.penOnPage370.1,206.16,urn:cite:botcar:sloane.370,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,""
urn:cite:botcar:catesbyLabels.penOnPage424.1,465,urn:cite:botcar:sloane.424,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453,""
urn:cite:botcar:catesbyLabels.penOnPage192.1,1 Pluck. 74. f.4. S. 566.8,urn:cite:botcar:sloane.192,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,""
urn:cite:botcar:catesbyLabels.penOnPage40.1,1 Thalictrum cornutis Linn.,urn:cite:botcar:sloane.40,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481,""
urn:cite:botcar:catesbyLabels.penOnPage363.1,3   R.H. 208,urn:cite:botcar:sloane.363,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453,""
urn:cite:botcar:catesbyLabels.penOnPage390.1,3 Pluck. T. 101 f.2.  R.S. 242.1.,urn:cite:botcar:sloane.390,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,""
urn:cite:botcar:catesbyLabels.penOnPage145.1,Anomis caroliniana floribus luteis in spicam longissima dispositis; R.S. 468,urn:cite:botcar:sloane.145,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458,""
urn:cite:botcar:catesbyLabels.penOnPage95.1,Catesby Fab. 44. R.S. 520,urn:cite:botcar:sloane.95,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_050_0605,""
urn:cite:botcar:catesbyLabels.penOnPage169.1,Catesby i.60 R.H.S. App. 4,urn:cite:botcar:sloane.169,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_052_0604,""
urn:cite:botcar:catesbyLabels.penOnPage233.1,Catesby T.21. R.H.S.P. 7,urn:cite:botcar:sloane.233,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_091_0565,""
urn:cite:botcar:catesbyLabels.penOnPage172.1,Catesby T.34. R.H. 1417,urn:cite:botcar:sloane.172,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_052_0604,""
urn:cite:botcar:catesbyLabels.penOnPage234.1,Cypress; R.H.S.P. 9,urn:cite:botcar:sloane.234,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_085_0578,""
urn:cite:botcar:catesbyLabels.penOnPage208.1,Gratiola mariana,urn:cite:botcar:sloane.208,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470,""
urn:cite:botcar:catesbyLabels.penOnPage91.1,Hist. Fam. 1.7.78. f.1 R.H.S. 614.10,urn:cite:botcar:sloane.91,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454,""
urn:cite:botcar:catesbyLabels.penOnPage266.1,Pl. T. 336 f. 3.; R.S. 538.58 & 535 p. 40.,urn:cite:botcar:sloane.266,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,""
urn:cite:botcar:catesbyLabels.penOnPage66.1,Pl. T. 76 f. 52 B.S. 547.562,urn:cite:botcar:sloane.66,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495,""
urn:cite:botcar:catesbyLabels.penOnPage421.1,Platanus Occid. (on label); R.H. 1707,urn:cite:botcar:sloane.421,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_068_0449,""
urn:cite:botcar:catesbyLabels.penOnPage160.1,Pluck T. 203 f.1. R.H.S. 488 63,urn:cite:botcar:sloane.160,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,""
urn:cite:botcar:catesbyLabels.penOnPage232.1,Pluck T. 339. f. 2. R.S.P. 131.28,urn:cite:botcar:sloane.232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445,""
urn:cite:botcar:catesbyLabels.penOnPage417.1,Pluck T. 339. f. 4 R. Suppl. D 46. 17,urn:cite:botcar:sloane.417,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496,""
urn:cite:botcar:catesbyLabels.penOnPage200.1,Pluck T. 438.8 R.S. 639,urn:cite:botcar:sloane.200,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461,""
urn:cite:botcar:catesbyLabels.penOnPage85.1,Pluck T. 442.f.2  R.S. 320,urn:cite:botcar:sloane.85,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483,""
urn:cite:botcar:catesbyLabels.penOnPage98.1,Pr. S. 496 M. Serip,urn:cite:botcar:sloane.98,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,""
urn:cite:botcar:catesbyLabels.penOnPage253.1,R. H. 1344,urn:cite:botcar:sloane.253,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454,""
urn:cite:botcar:catesbyLabels.penOnPage89.1,R. H. 1344,urn:cite:botcar:sloane.89,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470,""
urn:cite:botcar:catesbyLabels.penOnPage372.1,R. H. 1681 & 1799,urn:cite:botcar:sloane.372,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_014_0498,""
urn:cite:botcar:catesbyLabels.penOnPage260.1,R. H. 1702,urn:cite:botcar:sloane.260,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_011_0500,""
urn:cite:botcar:catesbyLabels.penOnPage391.1,R. H. 1916,urn:cite:botcar:sloane.391,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503,""
urn:cite:botcar:catesbyLabels.penOnPage331.1,R. S. 533,urn:cite:botcar:sloane.331,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,""
urn:cite:botcar:catesbyLabels.penOnPage72.1,R.H 1344.2 Pl. T. 76,urn:cite:botcar:sloane.72,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490,""
urn:cite:botcar:catesbyLabels.penOnPage76.1,R.H. 1320,urn:cite:botcar:sloane.76,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489,""
urn:cite:botcar:catesbyLabels.penOnPage137.1,R.H. 1426,urn:cite:botcar:sloane.137,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_070_0443,""
urn:cite:botcar:catesbyLabels.penOnPage243.1,R.H. 1681.etc.,urn:cite:botcar:sloane.243,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432,""
urn:cite:botcar:catesbyLabels.penOnPage127.1,R.H. 1695,urn:cite:botcar:sloane.127,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_069_0438,""
urn:cite:botcar:catesbyLabels.penOnPage188.1,R.H. 1721,urn:cite:botcar:sloane.188,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442,""
urn:cite:botcar:catesbyLabels.penOnPage194.1,R.H. 1721,urn:cite:botcar:sloane.194,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441,""
urn:cite:botcar:catesbyLabels.penOnPage431.1,R.H. 1768 Bignonia etc.,urn:cite:botcar:sloane.431,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444,""
urn:cite:botcar:catesbyLabels.penOnPage262.1,R.H. 1798,urn:cite:botcar:sloane.262,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497,""
urn:cite:botcar:catesbyLabels.penOnPage389.1,R.H. 1798,urn:cite:botcar:sloane.389,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431,""
urn:cite:botcar:catesbyLabels.penOnPage68.1,R.H. 1845.7,urn:cite:botcar:sloane.68,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425,""
urn:cite:botcar:catesbyLabels.penOnPage48.1,R.H. 1904,urn:cite:botcar:sloane.48,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_068_0589,""
urn:cite:botcar:catesbyLabels.penOnPage8.1,R.H. 1916,urn:cite:botcar:sloane.8,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_014_0642,""
urn:cite:botcar:catesbyLabels.penOnPage50.1,R.H. 1926,urn:cite:botcar:sloane.50,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_109_0550,""
urn:cite:botcar:catesbyLabels.penOnPage182.1,R.H. 1927,urn:cite:botcar:sloane.182,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608,""
urn:cite:botcar:catesbyLabels.penOnPage257.1,R.H. 294,urn:cite:botcar:sloane.257,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461,""
urn:cite:botcar:catesbyLabels.penOnPage118.1,R.H. 666,urn:cite:botcar:sloane.118,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445,""
urn:cite:botcar:catesbyLabels.penOnPage306.1,R.H. 671,urn:cite:botcar:sloane.306,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451,""
urn:cite:botcar:catesbyLabels.penOnPage82.1,R.H. 743,urn:cite:botcar:sloane.82,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474,""
urn:cite:botcar:catesbyLabels.penOnPage108.1,R.H. 912.1,urn:cite:botcar:sloane.108,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507,""
urn:cite:botcar:catesbyLabels.penOnPage88.1,R.H. 937,urn:cite:botcar:sloane.88,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_138_0517,""
urn:cite:botcar:catesbyLabels.penOnPage209.1,R.H. S. 300,urn:cite:botcar:sloane.209,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462,""
urn:cite:botcar:catesbyLabels.penOnPage170.1,R.H. S. 492,urn:cite:botcar:sloane.170,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_054_0603,""
urn:cite:botcar:catesbyLabels.penOnPage74.1,R.H. S. 639 n; Pl. T. 438.4,urn:cite:botcar:sloane.74,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485,""
urn:cite:botcar:catesbyLabels.penOnPage179.1,R.H.???,urn:cite:botcar:sloane.179,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619,""
urn:cite:botcar:catesbyLabels.penOnPage203.1,R.H.S. 106,urn:cite:botcar:sloane.203,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_071_0587,""
urn:cite:botcar:catesbyLabels.penOnPage204.1,R.H.S. 153,urn:cite:botcar:sloane.204,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_073_0585,""
urn:cite:botcar:catesbyLabels.penOnPage58.1,R.H.S. 162,urn:cite:botcar:sloane.58,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619,""
urn:cite:botcar:catesbyLabels.penOnPage140.1,R.H.S. 163,urn:cite:botcar:sloane.140,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_064_0594,""
urn:cite:botcar:catesbyLabels.penOnPage129.1,R.H.S. 168,urn:cite:botcar:sloane.129,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593,""
urn:cite:botcar:catesbyLabels.penOnPage404.1,R.H.S. 169,urn:cite:botcar:sloane.404,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621,""
urn:cite:botcar:catesbyLabels.penOnPage67.1,R.H.S. 170,urn:cite:botcar:sloane.67,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_043_0615,""
urn:cite:botcar:catesbyLabels.penOnPage325.1,R.H.S. 206,urn:cite:botcar:sloane.325,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542,""
urn:cite:botcar:catesbyLabels.penOnPage93.1,R.H.S. 210,urn:cite:botcar:sloane.93,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608,""
urn:cite:botcar:catesbyLabels.penOnPage314.1,R.H.S. 216,urn:cite:botcar:sloane.314,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,""
urn:cite:botcar:catesbyLabels.penOnPage387.1,R.H.S. 216,urn:cite:botcar:sloane.387,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506,""
urn:cite:botcar:catesbyLabels.penOnPage398.1,R.H.S. 216,urn:cite:botcar:sloane.398,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_102_0556,""
urn:cite:botcar:catesbyLabels.penOnPage56.1,R.H.S. 226,urn:cite:botcar:sloane.56,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537,""
urn:cite:botcar:catesbyLabels.penOnPage338.1,R.H.S. 232,urn:cite:botcar:sloane.338,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_049_0609,""
urn:cite:botcar:catesbyLabels.penOnPage350.1,R.H.S. 234,urn:cite:botcar:sloane.350,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_133_0524,""
urn:cite:botcar:catesbyLabels.penOnPage139.1,R.H.S. 238,urn:cite:botcar:sloane.139,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_059_0598,""
urn:cite:botcar:catesbyLabels.penOnPage304.1,R.H.S. 262,urn:cite:botcar:sloane.304,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538,""
urn:cite:botcar:catesbyLabels.penOnPage26.1,R.H.S. 294,urn:cite:botcar:sloane.26,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_121_0535,""
urn:cite:botcar:catesbyLabels.penOnPage249.1,R.H.S. 299,urn:cite:botcar:sloane.249,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_137_0519,""
urn:cite:botcar:catesbyLabels.penOnPage411.1,R.H.S. 300,urn:cite:botcar:sloane.411,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_103_0552,""
urn:cite:botcar:catesbyLabels.penOnPage35.1,R.H.S. 300.22,urn:cite:botcar:sloane.35,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,""
urn:cite:botcar:catesbyLabels.penOnPage151.1,R.H.S. 327,urn:cite:botcar:sloane.151,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_067_0591,""
urn:cite:botcar:catesbyLabels.penOnPage114.1,R.H.S. 345,urn:cite:botcar:sloane.114,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_031_0630,""
urn:cite:botcar:catesbyLabels.penOnPage255.1,R.H.S. 362,urn:cite:botcar:sloane.255,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_127_0530,""
urn:cite:botcar:catesbyLabels.penOnPage32.1,R.H.S. 394,urn:cite:botcar:sloane.32,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_122_0536,""
urn:cite:botcar:catesbyLabels.penOnPage328.1,R.H.S. 429,urn:cite:botcar:sloane.328,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_107_0547,""
urn:cite:botcar:catesbyLabels.penOnPage225.1,R.H.S. 440,urn:cite:botcar:sloane.225,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572,""
urn:cite:botcar:catesbyLabels.penOnPage405.1,R.H.S. 442,urn:cite:botcar:sloane.405,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_112_0543,""
urn:cite:botcar:catesbyLabels.penOnPage28.1,R.H.S. 450,urn:cite:botcar:sloane.28,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538,""
urn:cite:botcar:catesbyLabels.penOnPage413.1,R.H.S. 456,urn:cite:botcar:sloane.413,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_070_0586,""
urn:cite:botcar:catesbyLabels.penOnPage364.1,R.H.S. 462,urn:cite:botcar:sloane.364,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414,""
urn:cite:botcar:catesbyLabels.penOnPage141.1,R.H.S. 463,urn:cite:botcar:sloane.141,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593,""
urn:cite:botcar:catesbyLabels.penOnPage202.1,R.H.S. 465,urn:cite:botcar:sloane.202,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_072_0584,""
urn:cite:botcar:catesbyLabels.penOnPage18.1,R.H.S. 471,urn:cite:botcar:sloane.18,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482,""
urn:cite:botcar:catesbyLabels.penOnPage335.1,R.H.S. 471,urn:cite:botcar:sloane.335,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_108_0549,""
urn:cite:botcar:catesbyLabels.penOnPage299.1,R.H.S. 482,urn:cite:botcar:sloane.299,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_046_0612,""
urn:cite:botcar:catesbyLabels.penOnPage161.1,R.H.S. 524,urn:cite:botcar:sloane.161,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_136_0522,""
urn:cite:botcar:catesbyLabels.penOnPage259.1,R.H.S. 526,urn:cite:botcar:sloane.259,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469,""
urn:cite:botcar:catesbyLabels.penOnPage125.1,R.H.S. 529,urn:cite:botcar:sloane.125,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_128_0527,""
