Siglum,Sequence,folioURN,RV,MS,CodexURN
CatesbyHS212,0,urn:cite:botcar:CatesbyHS212.fc,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,1,urn:cite:botcar:CatesbyHS212.ff,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,2,urn:cite:botcar:CatesbyHS212.toc,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,3,urn:cite:botcar:CatesbyHS212.001,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,4,urn:cite:botcar:CatesbyHS212.001,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,5,urn:cite:botcar:CatesbyHS212.002,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,6,urn:cite:botcar:CatesbyHS212.003,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,7,urn:cite:botcar:CatesbyHS212.004,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,8,urn:cite:botcar:CatesbyHS212.005,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,9,urn:cite:botcar:CatesbyHS212.006,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,10,urn:cite:botcar:CatesbyHS212.007,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,11,urn:cite:botcar:CatesbyHS212.008,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,12,urn:cite:botcar:CatesbyHS212.009,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,13,urn:cite:botcar:CatesbyHS212.010,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,14,urn:cite:botcar:CatesbyHS212.011,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,15,urn:cite:botcar:CatesbyHS212.012,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,16,urn:cite:botcar:CatesbyHS212.013,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,17,urn:cite:botcar:CatesbyHS212.014,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,18,urn:cite:botcar:CatesbyHS212.015,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,19,urn:cite:botcar:CatesbyHS212.016,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,20,urn:cite:botcar:CatesbyHS212.017,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,21,urn:cite:botcar:CatesbyHS212.018,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,22,urn:cite:botcar:CatesbyHS212.019,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,23,urn:cite:botcar:CatesbyHS212.020,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,24,urn:cite:botcar:CatesbyHS212.021,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,25,urn:cite:botcar:CatesbyHS212.022,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,26,urn:cite:botcar:CatesbyHS212.023,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,27,urn:cite:botcar:CatesbyHS212.025,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,28,urn:cite:botcar:CatesbyHS212.026,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,29,urn:cite:botcar:CatesbyHS212.027,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,30,urn:cite:botcar:CatesbyHS212.028,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,31,urn:cite:botcar:CatesbyHS212.029,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,32,urn:cite:botcar:CatesbyHS212.030,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,33,urn:cite:botcar:CatesbyHS212.031,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,34,urn:cite:botcar:CatesbyHS212.032,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,35,urn:cite:botcar:CatesbyHS212.033,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,36,urn:cite:botcar:CatesbyHS212.034,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,37,urn:cite:botcar:CatesbyHS212.035,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,38,urn:cite:botcar:CatesbyHS212.036,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,39,urn:cite:botcar:CatesbyHS212.037,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,40,urn:cite:botcar:CatesbyHS212.038,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,41,urn:cite:botcar:CatesbyHS212.039,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,42,urn:cite:botcar:CatesbyHS212.040,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,43,urn:cite:botcar:CatesbyHS212.041,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,44,urn:cite:botcar:CatesbyHS212.042,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,45,urn:cite:botcar:CatesbyHS212.043,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,46,urn:cite:botcar:CatesbyHS212.044,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,47,urn:cite:botcar:CatesbyHS212.045,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,48,urn:cite:botcar:CatesbyHS212.046,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,49,urn:cite:botcar:CatesbyHS212.047,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,50,urn:cite:botcar:CatesbyHS212.048,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,51,urn:cite:botcar:CatesbyHS212.049,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,52,urn:cite:botcar:CatesbyHS212.050,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,53,urn:cite:botcar:CatesbyHS212.051,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,54,urn:cite:botcar:CatesbyHS212.052,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,55,urn:cite:botcar:CatesbyHS212.053,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,56,urn:cite:botcar:CatesbyHS212.054,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,57,urn:cite:botcar:CatesbyHS212.055,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,58,urn:cite:botcar:CatesbyHS212.056,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,59,urn:cite:botcar:CatesbyHS212.057,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,60,urn:cite:botcar:CatesbyHS212.058a,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,61,urn:cite:botcar:CatesbyHS212.058b,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,62,urn:cite:botcar:CatesbyHS212.059,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,63,urn:cite:botcar:CatesbyHS212.060,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,64,urn:cite:botcar:CatesbyHS212.061,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,65,urn:cite:botcar:CatesbyHS212.062,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,66,urn:cite:botcar:CatesbyHS212.063,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,67,urn:cite:botcar:CatesbyHS212.064,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,68,urn:cite:botcar:CatesbyHS212.065,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,69,urn:cite:botcar:CatesbyHS212.066,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,70,urn:cite:botcar:CatesbyHS212.067,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,71,urn:cite:botcar:CatesbyHS212.068,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,72,urn:cite:botcar:CatesbyHS212.069,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,73,urn:cite:botcar:CatesbyHS212.070,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,74,urn:cite:botcar:CatesbyHS212.071,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,75,urn:cite:botcar:CatesbyHS212.072,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,76,urn:cite:botcar:CatesbyHS212.073,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,77,urn:cite:botcar:CatesbyHS212.074,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,78,urn:cite:botcar:CatesbyHS212.075,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,79,urn:cite:botcar:CatesbyHS212.076,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,80,urn:cite:botcar:CatesbyHS212.077,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,81,urn:cite:botcar:CatesbyHS212.078,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,82,urn:cite:botcar:CatesbyHS212.079,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,83,urn:cite:botcar:CatesbyHS212.080,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,84,urn:cite:botcar:CatesbyHS212.081,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,85,urn:cite:botcar:CatesbyHS212.082,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,86,urn:cite:botcar:CatesbyHS212.083,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,87,urn:cite:botcar:CatesbyHS212.084,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,88,urn:cite:botcar:CatesbyHS212.085,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,89,urn:cite:botcar:CatesbyHS212.086,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,90,urn:cite:botcar:CatesbyHS212.087,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,91,urn:cite:botcar:CatesbyHS212.088,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,92,urn:cite:botcar:CatesbyHS212.089,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,93,urn:cite:botcar:CatesbyHS212.090,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,94,urn:cite:botcar:CatesbyHS212.091,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,95,urn:cite:botcar:CatesbyHS212.092,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,96,urn:cite:botcar:CatesbyHS212.093,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,97,urn:cite:botcar:CatesbyHS212.094,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,98,urn:cite:botcar:CatesbyHS212.095,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,99,urn:cite:botcar:CatesbyHS212.096,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,100,urn:cite:botcar:CatesbyHS212.bf,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,101,urn:cite:botcar:CatesbyHS212.sp,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
